"Austen_Northanger.txt"	"Austen_Persuasion.txt"	"Austen_Pride.txt"	"Austen_Sense.txt"	"CBronte_Jane.txt"	"Dickens_Hard.txt"	"EEE_Adam.txt"
"perhaps"	0.0879678141291833	0.0684125879161766	0.0624322281733644	0.0727442996061774	0.0555787133527859	0.043330476731534	0.0727394029809256
"back"	0.0595076389697417	0.081615017163158	0.0336805441461571	0.0334456549913459	0.0694733916909824	0.0953270488093748	0.12138677440129
"hope"	0.0750313708748917	0.0636117045536379	0.0985772023789965	0.0735804409809611	0.0400808028986437	0.0674029638046084	0.0430876718294655
"just"	0.0892614584546125	0.0792145754818887	0.0599677981138895	0.0568576134852881	0.0865745342610703	0.0462191751803029	0.0871019602574141
"sure"	0.126777143892058	0.0876161213663314	0.0846120987086386	0.113715226970576	0.0518378384155791	0.0568110694924557	0.0657897784923021
"eyes"	0.054333061668025	0.0396072877409443	0.0427167876975651	0.0468239169878843	0.098865980483321	0.106881842604451	0.115827074810391
"while"	0.0633885719460292	0.0828152380037927	0.0616107514868728	0.0911394098514177	0.0887121770823313	0.0645142653558395	0.107950833723284
"same"	0.069856793573175	0.100818550613313	0.056681891367923	0.0852864202279321	0.0374087493720674	0.0683658632875314	0.0593034623029202
"off"	0.0763250152003208	0.0828152380037927	0.0509315545624815	0.047660058362668	0.0614572311112536	0.084735154497222	0.0921983515490713
"against"	0.0349283967865875	0.0324059626971363	0.0427167876975651	0.0543491893609371	0.0390119814880132	0.0510336725949178	0.0620833120983696
"both"	0.0310474638103	0.0480088336253871	0.0583248447409063	0.0777611478548793	0.0732142666281891	0.04525627569738	0.0296517311514601
"knew"	0.0426902627391625	0.0732134712787153	0.047645647816515	0.0518407652365862	0.0598539989953079	0.0799206570826071	0.0583768457044371
"place"	0.0763250152003208	0.102018771453948	0.0607892748003812	0.0668913099826919	0.0550443026474706	0.0616255669070706	0.046794138223398
"took"	0.0413966184137333	0.0228041959720589	0.0435382643840568	0.0434793514887497	0.0657325167537756	0.0779948581167612	0.0565236125074708
"nor"	0.069856793573175	0.0480088336253871	0.0599677981138895	0.0735804409809611	0.0780239629760263	0.0250353865559974	0.0597667706021618
"cannot"	0.0879678141291833	0.0504092753066564	0.0920053888870634	0.0744165823557447	0.0721454452175586	0.0240724870730744	0.00833954938634816
"head"	0.0401029740883042	0.0420077294222137	0.0262872539677324	0.0292649481174277	0.0689389809856671	0.129991430194602	0.0745926361778919
"found"	0.0569203503188833	0.0996183297726782	0.0542174613084481	0.059366037609639	0.0668013381644061	0.0596997679412246	0.0324315809469095
"family"	0.0789123038511792	0.0924170047288701	0.124864456346729	0.0693997341070428	0.0203076068019795	0.0298498839706123	0.0231654149620782
"because"	0.0375156854374458	0.0312057418565016	0.0509315545624815	0.0551853307357208	0.0828336593238636	0.0577739689753787	0.0667163950907853
"rather"	0.0504521286917375	0.0720132504380806	0.0451812177570401	0.06187446173399	0.0662669274590909	0.043330476731534	0.0560603042082293
"face"	0.0206983092068667	0.0264048584939629	0.0221798705352742	0.0209035343695912	0.102606855420528	0.148286520370139	0.109340758621009
"saw"	0.07761865952575	0.0612112628723685	0.0846120987086386	0.0953201167253359	0.0999348018939515	0.0702916622533774	0.0736660195794087
"going"	0.0711504378986042	0.078014354641254	0.0468241711300233	0.0493323411122353	0.0379431600773827	0.0799206570826071	0.0945148930452791
"soon"	0.120308922264912	0.146426942557431	0.177438964282194	0.15134158883584	0.0817648379132331	0.043330476731534	0.0528171461135383
"room"	0.119015277939483	0.0804147963225233	0.0920053888870634	0.0819418547287975	0.101003623304582	0.0837722550142991	0.0407711303332577
"men"	0.0491584843663083	0.037206846059675	0.0262872539677324	0.0175589688704566	0.0176355532754032	0.042367577248611	0.0625466203976112
"left"	0.0633885719460292	0.0576106003504645	0.0533959846219564	0.0819418547287975	0.0764207308600806	0.0722174612192233	0.0481840631211227
"lord"	0.0116427989288625	0.0108019875657121	0.00985772023789965	0.0234119584939422	0.00694733916909824	0.0105918943121528	0.0138992489772469
"says"	0.0194046648814375	0.00840154588444274	0.0123221502973746	0.0108698378721874	0.0138946783381965	0.00962899482922978	0.0310416560491848
"between"	0.0504521286917375	0.0660121462349072	0.0517530312489732	0.0568576134852881	0.0470281420677419	0.043330476731534	0.0449409050264317
"enough"	0.0763250152003208	0.0852156796850621	0.0870765287681136	0.0861225616027158	0.0571819454687316	0.0385159793169191	0.0954415096437622
"thou"	0.00258728865085833	0	0	0	0.000534410705315249	0.0394788787998421	0.0120460157802807
"till"	0.07761865952575	0.0624114837130032	0.0763973318437223	0.0693997341070428	0.0598539989953079	0.0317756829364583	0.0630099286968527
"since"	0.0439839070645917	0.0540099378285605	0.047645647816515	0.0510046238618026	0.0411496243092742	0.042367577248611	0.0555969959089877
